<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,1,20170520,000100,1939.4500000
BTC-USD,1,20170520,000200,1939.4900000
BTC-USD,1,20170520,000300,1939.4900000
BTC-USD,1,20170520,000500,1939.5100000
BTC-USD,1,20170520,000600,1939.5200000
BTC-USD,1,20170520,000700,1939.5200000
BTC-USD,1,20170520,000800,1939.1100000
BTC-USD,1,20170520,000900,1940.1600000
BTC-USD,1,20170520,001000,1940.4700000
BTC-USD,1,20170520,001100,1941.5300000
BTC-USD,1,20170520,001200,1943.6600000
BTC-USD,1,20170520,001300,1943.6500000
BTC-USD,1,20170520,001400,1943.6300000
BTC-USD,1,20170520,001500,1943.6500000
BTC-USD,1,20170520,001600,1944.1100000
BTC-USD,1,20170520,001700,1944.9900000
BTC-USD,1,20170520,001800,1945.0100000
BTC-USD,1,20170520,001900,1947.3900000
BTC-USD,1,20170520,002000,1947.4400000
BTC-USD,1,20170520,002100,1949.0000000
BTC-USD,1,20170520,002200,1949.0000000
BTC-USD,1,20170520,002300,1950.0000000
BTC-USD,1,20170520,002400,1950.0900000
BTC-USD,1,20170520,002500,1951.8100000
BTC-USD,1,20170520,002600,1951.8300000
BTC-USD,1,20170520,002700,1953.0000000
BTC-USD,1,20170520,002800,1952.9700000
BTC-USD,1,20170520,002900,1952.9900000
BTC-USD,1,20170520,003000,1954.0400000
BTC-USD,1,20170520,003100,1954.0100000
BTC-USD,1,20170520,003200,1954.4700000
BTC-USD,1,20170520,003300,1954.4200000
BTC-USD,1,20170520,003400,1954.4500000
BTC-USD,1,20170520,003500,1955.8800000
BTC-USD,1,20170520,003600,1957.0000000
BTC-USD,1,20170520,003700,1957.0000000
BTC-USD,1,20170520,003800,1957.2700000
BTC-USD,1,20170520,003900,1957.2500000
BTC-USD,1,20170520,004000,1957.1700000
BTC-USD,1,20170520,004100,1960.9000000
BTC-USD,1,20170520,004200,1961.7600000
BTC-USD,1,20170520,004300,1962.6800000
BTC-USD,1,20170520,004400,1967.7000000
BTC-USD,1,20170520,004500,1968.6600000
BTC-USD,1,20170520,004600,1963.4600000
BTC-USD,1,20170520,004700,1963.6300000
BTC-USD,1,20170520,004800,1963.6400000
BTC-USD,1,20170520,004900,1963.9500000
BTC-USD,1,20170520,005000,1964.5500000
BTC-USD,1,20170520,005100,1966.7600000
BTC-USD,1,20170520,005200,1965.6200000
BTC-USD,1,20170520,005300,1966.6500000
BTC-USD,1,20170520,005400,1967.0900000
BTC-USD,1,20170520,005500,1967.1200000
BTC-USD,1,20170520,005600,1967.1200000
BTC-USD,1,20170520,005700,1967.9700000
BTC-USD,1,20170520,005800,1969.5200000
BTC-USD,1,20170520,005900,1971.0000000
BTC-USD,1,20170520,010000,1971.4800000
BTC-USD,1,20170520,010100,1970.0200000
BTC-USD,1,20170520,010200,1970.2200000
BTC-USD,1,20170520,010300,1970.2500000
BTC-USD,1,20170520,010400,1969.2700000
BTC-USD,1,20170520,010500,1973.2300000
BTC-USD,1,20170520,010600,1970.0000000
BTC-USD,1,20170520,010700,1969.3800000
BTC-USD,1,20170520,010800,1969.5300000
BTC-USD,1,20170520,010900,1970.0000000
BTC-USD,1,20170520,011000,1967.2800000
BTC-USD,1,20170520,011100,1968.9700000
BTC-USD,1,20170520,011200,1968.9600000
BTC-USD,1,20170520,011300,1969.0000000
BTC-USD,1,20170520,011400,1969.0200000
BTC-USD,1,20170520,011500,1969.9700000
BTC-USD,1,20170520,011600,1969.9400000
BTC-USD,1,20170520,011700,1969.9600000
BTC-USD,1,20170520,011800,1969.9600000
BTC-USD,1,20170520,011900,1969.9700000
BTC-USD,1,20170520,012000,1970.0000000
BTC-USD,1,20170520,012100,1969.9900000
BTC-USD,1,20170520,012200,1970.0000000
BTC-USD,1,20170520,012300,1970.0000000
BTC-USD,1,20170520,012400,1970.0000000
BTC-USD,1,20170520,012500,1970.0000000
BTC-USD,1,20170520,012600,1969.9900000
BTC-USD,1,20170520,012700,1970.0000000
BTC-USD,1,20170520,012800,1970.0000000
BTC-USD,1,20170520,012900,1973.8700000
BTC-USD,1,20170520,013000,1975.0000000
BTC-USD,1,20170520,013100,1975.8200000
BTC-USD,1,20170520,013200,1979.9600000
BTC-USD,1,20170520,013300,1979.9500000
BTC-USD,1,20170520,013400,1974.3200000
BTC-USD,1,20170520,013500,1974.3200000
BTC-USD,1,20170520,013600,1976.9300000
BTC-USD,1,20170520,013700,1976.9200000
BTC-USD,1,20170520,013800,1976.2700000
BTC-USD,1,20170520,013900,1976.5000000
BTC-USD,1,20170520,014100,1978.4400000
BTC-USD,1,20170520,014200,1979.2100000
BTC-USD,1,20170520,014300,1979.6300000
BTC-USD,1,20170520,014400,1977.5200000
BTC-USD,1,20170520,014500,1979.6300000
BTC-USD,1,20170520,014600,1977.4800000
BTC-USD,1,20170520,014700,1976.7900000
BTC-USD,1,20170520,014800,1974.8000000
BTC-USD,1,20170520,014900,1974.9800000
BTC-USD,1,20170520,015000,1972.0900000
BTC-USD,1,20170520,015100,1972.3900000
BTC-USD,1,20170520,015200,1970.1100000
BTC-USD,1,20170520,015300,1964.5400000
BTC-USD,1,20170520,015400,1965.4200000
BTC-USD,1,20170520,015500,1967.3700000
BTC-USD,1,20170520,015600,1965.3400000
BTC-USD,1,20170520,015700,1970.0000000
BTC-USD,1,20170520,015800,1964.1200000
BTC-USD,1,20170520,015900,1967.9500000
BTC-USD,1,20170520,020000,1966.1300000
BTC-USD,1,20170520,020100,1968.2100000
BTC-USD,1,20170520,020200,1970.0500000
BTC-USD,1,20170520,020300,1970.9200000
BTC-USD,1,20170520,020400,1970.6900000
BTC-USD,1,20170520,020500,1973.8500000
BTC-USD,1,20170520,020600,1973.4600000
BTC-USD,1,20170520,020700,1972.5900000
BTC-USD,1,20170520,020800,1972.9900000
BTC-USD,1,20170520,020900,1972.5900000
BTC-USD,1,20170520,021000,1973.6600000
BTC-USD,1,20170520,021100,1972.5900000
BTC-USD,1,20170520,021200,1971.5200000
BTC-USD,1,20170520,021300,1972.5900000
BTC-USD,1,20170520,021400,1972.5200000
BTC-USD,1,20170520,021500,1971.9000000
BTC-USD,1,20170520,021600,1972.0600000
BTC-USD,1,20170520,021700,1971.5200000
BTC-USD,1,20170520,021800,1966.9800000
BTC-USD,1,20170520,021900,1967.1900000
BTC-USD,1,20170520,022000,1967.2000000
BTC-USD,1,20170520,022100,1967.0800000
BTC-USD,1,20170520,022200,1967.0500000
BTC-USD,1,20170520,022300,1966.5300000
BTC-USD,1,20170520,022400,1966.5200000
BTC-USD,1,20170520,022500,1967.1400000
BTC-USD,1,20170520,022600,1967.5000000
BTC-USD,1,20170520,022700,1969.4600000
BTC-USD,1,20170520,022800,1969.5000000
BTC-USD,1,20170520,022900,1969.9000000
BTC-USD,1,20170520,023000,1970.9700000
BTC-USD,1,20170520,023100,1971.9900000
BTC-USD,1,20170520,023200,1972.6900000
BTC-USD,1,20170520,023300,1973.8100000
BTC-USD,1,20170520,023400,1975.2400000
BTC-USD,1,20170520,023500,1978.0000000
BTC-USD,1,20170520,023600,1977.9800000
BTC-USD,1,20170520,023700,1977.6400000
BTC-USD,1,20170520,023800,1977.8800000
BTC-USD,1,20170520,023900,1975.0000000
BTC-USD,1,20170520,024000,1972.8400000
BTC-USD,1,20170520,024100,1972.0100000
BTC-USD,1,20170520,024200,1972.6900000
BTC-USD,1,20170520,024300,1974.9300000
BTC-USD,1,20170520,024400,1973.8200000
BTC-USD,1,20170520,024500,1971.8600000
BTC-USD,1,20170520,024600,1971.8000000
BTC-USD,1,20170520,024800,1970.5000000
BTC-USD,1,20170520,024900,1970.4800000
BTC-USD,1,20170520,025000,1971.7500000
BTC-USD,1,20170520,025100,1974.8700000
BTC-USD,1,20170520,025200,1974.7000000
BTC-USD,1,20170520,025300,1975.3200000
BTC-USD,1,20170520,025400,1975.2600000
BTC-USD,1,20170520,025500,1976.0100000
BTC-USD,1,20170520,025600,1976.0100000
BTC-USD,1,20170520,025700,1976.9900000
BTC-USD,1,20170520,025800,1976.7100000
BTC-USD,1,20170520,025900,1976.6200000
BTC-USD,1,20170520,030000,1976.2300000
BTC-USD,1,20170520,030100,1975.9000000
BTC-USD,1,20170520,030200,1974.8400000
BTC-USD,1,20170520,030300,1974.0700000
BTC-USD,1,20170520,030400,1970.8700000
BTC-USD,1,20170520,030500,1973.4600000
BTC-USD,1,20170520,030600,1970.1900000
BTC-USD,1,20170520,030700,1971.9900000
BTC-USD,1,20170520,030800,1973.3100000
BTC-USD,1,20170520,030900,1973.3300000
BTC-USD,1,20170520,031100,1976.9600000
BTC-USD,1,20170520,031200,1977.3100000
BTC-USD,1,20170520,031300,1975.6300000
BTC-USD,1,20170520,031400,1975.5900000
BTC-USD,1,20170520,031500,1975.5900000
BTC-USD,1,20170520,031600,1975.5500000
BTC-USD,1,20170520,031700,1974.6500000
BTC-USD,1,20170520,031800,1975.3200000
BTC-USD,1,20170520,031900,1974.0000000
BTC-USD,1,20170520,032000,1974.6200000
BTC-USD,1,20170520,032100,1974.0000000
BTC-USD,1,20170520,032200,1974.5500000
BTC-USD,1,20170520,032300,1971.8800000
BTC-USD,1,20170520,032400,1974.5000000
BTC-USD,1,20170520,032500,1977.9900000
BTC-USD,1,20170520,032600,1976.2000000
BTC-USD,1,20170520,032700,1977.0000000
BTC-USD,1,20170520,032800,1977.8100000
BTC-USD,1,20170520,032900,1977.7900000
BTC-USD,1,20170520,033000,1977.7500000
BTC-USD,1,20170520,033100,1977.9900000
BTC-USD,1,20170520,033200,1981.6700000
BTC-USD,1,20170520,033300,1983.6500000
BTC-USD,1,20170520,033400,1983.8600000
BTC-USD,1,20170520,033500,1984.9600000
BTC-USD,1,20170520,033600,1984.9800000
BTC-USD,1,20170520,033700,1984.9600000
BTC-USD,1,20170520,033800,1984.9300000
BTC-USD,1,20170520,033900,1984.9900000
BTC-USD,1,20170520,034000,1984.9900000
BTC-USD,1,20170520,034100,1984.9900000
BTC-USD,1,20170520,034200,1984.9900000
BTC-USD,1,20170520,034300,1984.6400000
BTC-USD,1,20170520,034400,1983.6700000
BTC-USD,1,20170520,034500,1981.4000000
BTC-USD,1,20170520,034600,1982.5900000
BTC-USD,1,20170520,034700,1981.2500000
BTC-USD,1,20170520,034800,1981.2500000
BTC-USD,1,20170520,034900,1981.2500000
BTC-USD,1,20170520,035000,1984.4400000
BTC-USD,1,20170520,035100,1983.4700000
BTC-USD,1,20170520,035200,1981.2500000
BTC-USD,1,20170520,035300,1984.1900000
BTC-USD,1,20170520,035400,1984.5900000
BTC-USD,1,20170520,035500,1984.5500000
BTC-USD,1,20170520,035600,1984.5500000
BTC-USD,1,20170520,035700,1982.6600000
BTC-USD,1,20170520,035800,1984.5900000
BTC-USD,1,20170520,035900,1984.8100000
BTC-USD,1,20170520,040000,1984.6200000
BTC-USD,1,20170520,040100,1984.9000000
BTC-USD,1,20170520,040200,1984.9000000
BTC-USD,1,20170520,040300,1984.8800000
BTC-USD,1,20170520,040400,1985.0000000
BTC-USD,1,20170520,040500,1985.0000000
BTC-USD,1,20170520,040600,1985.0000000
BTC-USD,1,20170520,040700,1985.0000000
BTC-USD,1,20170520,040800,1984.9900000
BTC-USD,1,20170520,040900,1984.9900000
BTC-USD,1,20170520,041000,1984.9900000
BTC-USD,1,20170520,041100,1985.0000000
BTC-USD,1,20170520,041200,1985.0000000
BTC-USD,1,20170520,041300,1984.6100000
BTC-USD,1,20170520,041400,1984.7800000
BTC-USD,1,20170520,041500,1984.5500000
BTC-USD,1,20170520,041600,1984.9900000
BTC-USD,1,20170520,041700,1983.4700000
BTC-USD,1,20170520,041800,1983.4900000
BTC-USD,1,20170520,041900,1984.1900000
BTC-USD,1,20170520,042000,1984.5600000
BTC-USD,1,20170520,042100,1984.0800000
BTC-USD,1,20170520,042200,1984.9900000
BTC-USD,1,20170520,042300,1984.6100000
BTC-USD,1,20170520,042400,1983.5500000
BTC-USD,1,20170520,042500,1984.6200000
BTC-USD,1,20170520,042600,1984.6400000
BTC-USD,1,20170520,042700,1984.9000000
BTC-USD,1,20170520,042800,1984.9900000
BTC-USD,1,20170520,042900,1984.9800000
BTC-USD,1,20170520,043000,1984.9800000
BTC-USD,1,20170520,043100,1982.9400000
BTC-USD,1,20170520,043200,1983.7900000
BTC-USD,1,20170520,043300,1982.3700000
BTC-USD,1,20170520,043400,1983.5400000
BTC-USD,1,20170520,043500,1982.9900000
BTC-USD,1,20170520,043600,1984.9800000
BTC-USD,1,20170520,043700,1987.9500000
BTC-USD,1,20170520,043800,1988.0000000
BTC-USD,1,20170520,043900,1989.4900000
BTC-USD,1,20170520,044000,1989.4300000
BTC-USD,1,20170520,044100,1988.0300000
BTC-USD,1,20170520,044200,1988.0000000
BTC-USD,1,20170520,044300,1985.7300000
BTC-USD,1,20170520,044400,1985.8300000
BTC-USD,1,20170520,044500,1986.0800000
BTC-USD,1,20170520,044600,1986.8100000
BTC-USD,1,20170520,044700,1987.4000000
BTC-USD,1,20170520,044800,1987.4300000
BTC-USD,1,20170520,044900,1987.4400000
BTC-USD,1,20170520,045000,1987.9900000
BTC-USD,1,20170520,045100,1987.9900000
BTC-USD,1,20170520,045200,1987.9500000
BTC-USD,1,20170520,045300,1987.9800000
BTC-USD,1,20170520,045400,1988.0000000
BTC-USD,1,20170520,045500,1988.0000000
BTC-USD,1,20170520,045600,1988.0000000
BTC-USD,1,20170520,045700,1988.0000000
BTC-USD,1,20170520,045800,1988.0000000
BTC-USD,1,20170520,045900,1988.0000000
BTC-USD,1,20170520,050000,1988.0000000
BTC-USD,1,20170520,050100,1988.0000000
BTC-USD,1,20170520,050200,1989.4300000
BTC-USD,1,20170520,050300,1989.5900000
BTC-USD,1,20170520,050400,1989.8800000
BTC-USD,1,20170520,050500,1989.8700000
BTC-USD,1,20170520,050600,1989.9300000
BTC-USD,1,20170520,050700,1989.9500000
BTC-USD,1,20170520,050800,1989.9500000
BTC-USD,1,20170520,050900,1989.9800000
BTC-USD,1,20170520,051000,1988.5000000
BTC-USD,1,20170520,051100,1989.9500000
BTC-USD,1,20170520,051200,1989.3900000
BTC-USD,1,20170520,051300,1989.5100000
BTC-USD,1,20170520,051400,1989.9500000
BTC-USD,1,20170520,051500,1989.2400000
BTC-USD,1,20170520,051600,1989.9400000
BTC-USD,1,20170520,051700,1989.9400000
BTC-USD,1,20170520,051800,1988.9800000
BTC-USD,1,20170520,051900,1987.7400000
BTC-USD,1,20170520,052000,1983.8000000
BTC-USD,1,20170520,052100,1985.1800000
BTC-USD,1,20170520,052200,1986.8300000
BTC-USD,1,20170520,052300,1984.8500000
BTC-USD,1,20170520,052400,1985.9100000
BTC-USD,1,20170520,052500,1985.3500000
BTC-USD,1,20170520,052600,1985.3500000
BTC-USD,1,20170520,052700,1986.1200000
BTC-USD,1,20170520,052800,1986.1200000
BTC-USD,1,20170520,052900,1986.4400000
BTC-USD,1,20170520,053000,1987.6500000
BTC-USD,1,20170520,053100,1987.6100000
BTC-USD,1,20170520,053200,1987.7400000
BTC-USD,1,20170520,053300,1987.8800000
BTC-USD,1,20170520,053400,1987.8600000
BTC-USD,1,20170520,053500,1987.8100000
BTC-USD,1,20170520,053600,1987.8000000
BTC-USD,1,20170520,053700,1986.7100000
BTC-USD,1,20170520,053800,1984.5100000
BTC-USD,1,20170520,053900,1984.5100000
BTC-USD,1,20170520,054000,1984.5000000
BTC-USD,1,20170520,054100,1984.5200000
BTC-USD,1,20170520,054200,1984.7400000
BTC-USD,1,20170520,054300,1985.9000000
BTC-USD,1,20170520,054400,1985.8900000
BTC-USD,1,20170520,054500,1985.0000000
BTC-USD,1,20170520,054600,1985.0100000
BTC-USD,1,20170520,054700,1985.0000000
BTC-USD,1,20170520,054800,1984.9600000
BTC-USD,1,20170520,054900,1984.0100000
BTC-USD,1,20170520,055000,1984.0900000
BTC-USD,1,20170520,055100,1985.3600000
BTC-USD,1,20170520,055200,1984.9400000
BTC-USD,1,20170520,055300,1984.8900000
BTC-USD,1,20170520,055400,1984.8600000
BTC-USD,1,20170520,055500,1984.8700000
BTC-USD,1,20170520,055600,1984.8700000
BTC-USD,1,20170520,055700,1984.9800000
BTC-USD,1,20170520,055800,1988.0000000
BTC-USD,1,20170520,055900,1988.6700000
BTC-USD,1,20170520,060000,1989.9300000
BTC-USD,1,20170520,060100,1989.9000000
BTC-USD,1,20170520,060200,1989.9400000
BTC-USD,1,20170520,060300,1989.9800000
BTC-USD,1,20170520,060400,1989.9700000
BTC-USD,1,20170520,060500,1989.9700000
BTC-USD,1,20170520,060600,1989.9900000
BTC-USD,1,20170520,060700,1989.9500000
BTC-USD,1,20170520,060800,1989.9700000
BTC-USD,1,20170520,060900,1989.9600000
BTC-USD,1,20170520,061000,1989.7900000
BTC-USD,1,20170520,061100,1989.8900000
BTC-USD,1,20170520,061200,1989.9900000
BTC-USD,1,20170520,061300,1989.8500000
BTC-USD,1,20170520,061400,1989.9700000
BTC-USD,1,20170520,061500,1987.7500000
BTC-USD,1,20170520,061600,1989.4200000
BTC-USD,1,20170520,061700,1989.4000000
BTC-USD,1,20170520,061800,1989.9900000
BTC-USD,1,20170520,061900,1989.9900000
BTC-USD,1,20170520,062000,1987.0500000
BTC-USD,1,20170520,062100,1987.1300000
BTC-USD,1,20170520,062200,1987.1500000
BTC-USD,1,20170520,062300,1983.7500000
BTC-USD,1,20170520,062400,1983.6700000
BTC-USD,1,20170520,062500,1983.3700000
BTC-USD,1,20170520,062600,1983.6900000
BTC-USD,1,20170520,062700,1987.1600000
BTC-USD,1,20170520,062800,1986.7000000
BTC-USD,1,20170520,062900,1986.9700000
BTC-USD,1,20170520,063000,1985.8100000
BTC-USD,1,20170520,063100,1984.6800000
BTC-USD,1,20170520,063200,1984.9600000
BTC-USD,1,20170520,063300,1983.5400000
BTC-USD,1,20170520,063400,1984.5700000
BTC-USD,1,20170520,063500,1982.4900000
BTC-USD,1,20170520,063600,1981.2200000
BTC-USD,1,20170520,063700,1980.1600000
BTC-USD,1,20170520,063800,1978.0100000
BTC-USD,1,20170520,063900,1980.4700000
BTC-USD,1,20170520,064000,1980.0800000
BTC-USD,1,20170520,064100,1980.6400000
BTC-USD,1,20170520,064200,1982.7400000
BTC-USD,1,20170520,064300,1982.6200000
BTC-USD,1,20170520,064400,1986.9900000
BTC-USD,1,20170520,064500,1988.2200000
BTC-USD,1,20170520,064600,1988.0600000
BTC-USD,1,20170520,064700,1988.1400000
BTC-USD,1,20170520,064800,1988.1100000
BTC-USD,1,20170520,064900,1987.8000000
BTC-USD,1,20170520,065000,1987.8200000
BTC-USD,1,20170520,065100,1987.8000000
BTC-USD,1,20170520,065200,1985.9400000
BTC-USD,1,20170520,065300,1984.7200000
BTC-USD,1,20170520,065400,1981.6300000
BTC-USD,1,20170520,065500,1983.8600000
BTC-USD,1,20170520,065600,1982.9500000
BTC-USD,1,20170520,065700,1983.3900000
BTC-USD,1,20170520,065800,1985.6700000
BTC-USD,1,20170520,065900,1985.6100000
BTC-USD,1,20170520,070000,1985.9200000
BTC-USD,1,20170520,070100,1985.8900000
BTC-USD,1,20170520,070200,1985.8500000
BTC-USD,1,20170520,070300,1987.0600000
BTC-USD,1,20170520,070400,1986.8700000
BTC-USD,1,20170520,070500,1987.8400000
BTC-USD,1,20170520,070600,1987.4000000
BTC-USD,1,20170520,070700,1987.8100000
BTC-USD,1,20170520,070800,1987.7800000
BTC-USD,1,20170520,070900,1987.7700000
BTC-USD,1,20170520,071000,1987.9900000
BTC-USD,1,20170520,071100,1988.0000000
BTC-USD,1,20170520,071200,1988.0000000
BTC-USD,1,20170520,071300,1988.3200000
BTC-USD,1,20170520,071400,1988.3000000
BTC-USD,1,20170520,071500,1988.3200000
BTC-USD,1,20170520,071600,1988.8400000
BTC-USD,1,20170520,071700,1989.2900000
BTC-USD,1,20170520,071800,1989.6200000
BTC-USD,1,20170520,071900,1989.6300000
BTC-USD,1,20170520,072000,1989.9400000
BTC-USD,1,20170520,072100,1989.9600000
BTC-USD,1,20170520,072200,1989.9600000
BTC-USD,1,20170520,072300,1989.9900000
BTC-USD,1,20170520,072400,1989.5300000
BTC-USD,1,20170520,072500,1989.9100000
BTC-USD,1,20170520,072600,1989.9200000
BTC-USD,1,20170520,072700,1989.9100000
BTC-USD,1,20170520,072800,1989.9000000
BTC-USD,1,20170520,072900,1989.9700000
BTC-USD,1,20170520,073000,1989.9500000
BTC-USD,1,20170520,073100,1989.9700000
BTC-USD,1,20170520,073200,1989.9800000
BTC-USD,1,20170520,073300,1989.9700000
BTC-USD,1,20170520,073400,1989.9900000
BTC-USD,1,20170520,073500,1989.9700000
BTC-USD,1,20170520,073600,1989.9500000
BTC-USD,1,20170520,073700,1989.9800000
BTC-USD,1,20170520,073800,1989.9600000
BTC-USD,1,20170520,073900,1989.9600000
BTC-USD,1,20170520,074000,1989.9600000
BTC-USD,1,20170520,074100,1989.9600000
BTC-USD,1,20170520,074200,1989.9900000
BTC-USD,1,20170520,074300,1989.9500000
BTC-USD,1,20170520,074400,1989.9500000
BTC-USD,1,20170520,074500,1988.7400000
BTC-USD,1,20170520,074600,1988.5400000
BTC-USD,1,20170520,074700,1988.4400000
BTC-USD,1,20170520,074800,1988.2100000
BTC-USD,1,20170520,074900,1987.0600000
BTC-USD,1,20170520,075000,1986.9900000
BTC-USD,1,20170520,075100,1985.0000000
BTC-USD,1,20170520,075200,1981.6200000
BTC-USD,1,20170520,075300,1981.0000000
BTC-USD,1,20170520,075400,1981.0100000
BTC-USD,1,20170520,075500,1981.0100000
BTC-USD,1,20170520,075600,1981.3100000
BTC-USD,1,20170520,075700,1985.7200000
BTC-USD,1,20170520,075800,1986.0800000
BTC-USD,1,20170520,075900,1986.3700000
BTC-USD,1,20170520,080000,1987.4500000
BTC-USD,1,20170520,080100,1986.3400000
BTC-USD,1,20170520,080200,1986.2500000
BTC-USD,1,20170520,080300,1984.5300000
BTC-USD,1,20170520,080400,1982.6800000
BTC-USD,1,20170520,080500,1982.6100000
BTC-USD,1,20170520,080600,1982.6100000
BTC-USD,1,20170520,080700,1983.8300000
BTC-USD,1,20170520,080800,1985.5800000
BTC-USD,1,20170520,080900,1983.1200000
BTC-USD,1,20170520,081000,1985.4300000
BTC-USD,1,20170520,081100,1985.4200000
BTC-USD,1,20170520,081200,1985.4000000
BTC-USD,1,20170520,081300,1985.3700000
BTC-USD,1,20170520,081400,1985.0000000
BTC-USD,1,20170520,081500,1985.0000000
BTC-USD,1,20170520,081600,1984.9900000
BTC-USD,1,20170520,081700,1986.2700000
BTC-USD,1,20170520,081800,1988.4800000
BTC-USD,1,20170520,081900,1986.3400000
BTC-USD,1,20170520,082000,1982.5000000
BTC-USD,1,20170520,082100,1982.5800000
BTC-USD,1,20170520,082200,1985.0000000
BTC-USD,1,20170520,082300,1985.0200000
BTC-USD,1,20170520,082400,1983.7000000
BTC-USD,1,20170520,082500,1983.7500000
BTC-USD,1,20170520,082600,1983.7000000
BTC-USD,1,20170520,082700,1983.7900000
BTC-USD,1,20170520,082800,1983.8100000
BTC-USD,1,20170520,082900,1982.5600000
BTC-USD,1,20170520,083000,1982.8200000
BTC-USD,1,20170520,083100,1982.5800000
BTC-USD,1,20170520,083200,1982.6100000
BTC-USD,1,20170520,083300,1982.6300000
BTC-USD,1,20170520,083400,1982.1300000
BTC-USD,1,20170520,083500,1982.9200000
BTC-USD,1,20170520,083600,1984.7900000
BTC-USD,1,20170520,083700,1984.7800000
BTC-USD,1,20170520,083800,1988.5900000
BTC-USD,1,20170520,083900,1988.7900000
BTC-USD,1,20170520,084000,1988.9900000
BTC-USD,1,20170520,084100,1988.9900000
BTC-USD,1,20170520,084200,1989.1800000
BTC-USD,1,20170520,084300,1989.1800000
BTC-USD,1,20170520,084400,1989.1800000
BTC-USD,1,20170520,084500,1989.1900000
BTC-USD,1,20170520,084600,1989.8800000
BTC-USD,1,20170520,084700,1989.9900000
BTC-USD,1,20170520,084800,1989.9900000
BTC-USD,1,20170520,084900,1990.0200000
BTC-USD,1,20170520,085000,1992.7100000
BTC-USD,1,20170520,085100,1992.7100000
BTC-USD,1,20170520,085200,1992.6100000
BTC-USD,1,20170520,085300,1992.6900000
BTC-USD,1,20170520,085400,1992.6100000
BTC-USD,1,20170520,085500,1992.6700000
BTC-USD,1,20170520,085600,1992.9900000
BTC-USD,1,20170520,085700,1992.9800000
BTC-USD,1,20170520,085800,1992.9900000
BTC-USD,1,20170520,085900,1993.0000000
BTC-USD,1,20170520,090000,1993.8800000
BTC-USD,1,20170520,090100,1994.9800000
BTC-USD,1,20170520,090200,1994.6200000
BTC-USD,1,20170520,090300,1994.8000000
BTC-USD,1,20170520,090400,1994.1200000
BTC-USD,1,20170520,090500,1994.9100000
BTC-USD,1,20170520,090600,1994.9100000
BTC-USD,1,20170520,090700,1991.9000000
BTC-USD,1,20170520,090800,1993.8200000
BTC-USD,1,20170520,090900,1995.9500000
BTC-USD,1,20170520,091000,1995.9000000
BTC-USD,1,20170520,091100,1995.8700000
BTC-USD,1,20170520,091200,1995.9400000
BTC-USD,1,20170520,091300,1995.8700000
BTC-USD,1,20170520,091400,1996.1300000
BTC-USD,1,20170520,091500,1997.0000000
BTC-USD,1,20170520,091600,1997.2300000
BTC-USD,1,20170520,091700,1997.2300000
BTC-USD,1,20170520,091800,1997.2500000
BTC-USD,1,20170520,091900,1997.4000000
BTC-USD,1,20170520,092000,1997.7900000
BTC-USD,1,20170520,092100,1997.7900000
BTC-USD,1,20170520,092200,1994.3700000
BTC-USD,1,20170520,092300,1986.9800000
BTC-USD,1,20170520,092400,1985.9900000
BTC-USD,1,20170520,092500,1986.8400000
BTC-USD,1,20170520,092600,1986.8300000
BTC-USD,1,20170520,092700,1989.2400000
BTC-USD,1,20170520,092800,1989.5900000
BTC-USD,1,20170520,092900,1989.5700000
BTC-USD,1,20170520,093000,1992.0800000
BTC-USD,1,20170520,093100,1994.6500000
