<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
D,1,20150213,000100,17970.0700000
D,1,20150213,000200,17971.6700000
D,1,20150213,000300,17972.2500000
D,1,20150213,000400,17972.3800000
D,1,20150213,000600,17972.3800000
D,1,20150213,000700,17972.3800000
D,1,20150213,001200,17972.3800000
D,1,20150213,001700,17972.3800000
D,1,20150213,173100,17986.3500000
D,1,20150213,173200,17986.7300000
D,1,20150213,173300,17979.4100000
D,1,20150213,173400,17986.8600000
D,1,20150213,173500,17983.5800000
D,1,20150213,173600,17993.4400000
D,1,20150213,173700,17988.6000000
D,1,20150213,173800,17992.7000000
D,1,20150213,173900,17993.5400000
D,1,20150213,174000,17990.2000000
D,1,20150213,174100,17992.8000000
D,1,20150213,174200,17986.7300000
D,1,20150213,174300,17997.8700000
D,1,20150213,174400,17997.5400000
D,1,20150213,174500,17996.6200000
D,1,20150213,174600,18004.2000000
D,1,20150213,174700,18002.5000000
D,1,20150213,174800,18003.9400000
D,1,20150213,174900,18007.8900000
D,1,20150213,175000,18012.1600000
D,1,20150213,175100,18007.3400000
D,1,20150213,175200,18005.1900000
D,1,20150213,175300,18009.3700000
D,1,20150213,175400,18010.6600000
D,1,20150213,175500,18007.7600000
D,1,20150213,175600,18010.4800000
D,1,20150213,175700,18017.6000000
D,1,20150213,175800,18017.6500000
D,1,20150213,175900,18013.0600000
D,1,20150213,180000,18013.8300000
D,1,20150213,180100,18017.8900000
D,1,20150213,180200,18004.3300000
D,1,20150213,180300,18004.9400000
D,1,20150213,180400,18002.6600000
D,1,20150213,180500,18004.6700000
D,1,20150213,180600,18004.5200000
D,1,20150213,180700,18002.5600000
D,1,20150213,180800,17992.5400000
D,1,20150213,180900,17986.2200000
D,1,20150213,181000,17985.3200000
D,1,20150213,181100,17987.4200000
D,1,20150213,181200,17988.3900000
D,1,20150213,181300,17991.9300000
D,1,20150213,181400,17993.6300000
D,1,20150213,181500,18001.6900000
D,1,20150213,181600,18000.4700000
D,1,20150213,181700,18002.7500000
D,1,20150213,181800,18007.2200000
D,1,20150213,181900,18004.7400000
D,1,20150213,182000,18002.4900000
D,1,20150213,182100,18002.5000000
D,1,20150213,182200,18006.2500000
D,1,20150213,182300,18010.0100000
D,1,20150213,182400,18005.7700000
D,1,20150213,182500,18012.9300000
D,1,20150213,182600,18028.4100000
D,1,20150213,182700,18036.5800000
D,1,20150213,182800,18031.1000000
D,1,20150213,182900,18030.6600000
D,1,20150213,183000,18027.9700000
D,1,20150213,183100,18034.9300000
D,1,20150213,183200,18032.3600000
D,1,20150213,183300,18030.5200000
D,1,20150213,183400,18028.2500000
D,1,20150213,183500,18022.7600000
D,1,20150213,183600,18021.8600000
D,1,20150213,183700,18021.7800000
D,1,20150213,183800,18020.5000000
D,1,20150213,183900,18021.5700000
D,1,20150213,184000,18021.7000000
D,1,20150213,184100,18018.2000000
D,1,20150213,184200,18013.8300000
D,1,20150213,184300,18017.8400000
D,1,20150213,184400,18019.4400000
D,1,20150213,184500,18015.6200000
D,1,20150213,184600,18013.5800000
D,1,20150213,184700,18017.5600000
D,1,20150213,184800,18016.1800000
D,1,20150213,184900,18016.0100000
D,1,20150213,185000,18010.6800000
D,1,20150213,185100,18018.7800000
D,1,20150213,185200,18020.3200000
D,1,20150213,185300,18019.2300000
D,1,20150213,185400,18024.3400000
D,1,20150213,185500,18021.7300000
D,1,20150213,185600,18023.8800000
D,1,20150213,185700,18023.3700000
D,1,20150213,185800,18024.5000000
D,1,20150213,185900,18023.3700000
D,1,20150213,190000,18018.6200000
D,1,20150213,190100,18019.2300000
D,1,20150213,190200,18018.3600000
D,1,20150213,190300,18024.2000000
D,1,20150213,190400,18031.6800000
D,1,20150213,190500,18028.6700000
