<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,1,20180620,000100,6694.9400000
BTC-USD,1,20180620,000200,6692.7500000
BTC-USD,1,20180620,000300,6694.9400000
BTC-USD,1,20180620,000400,6694.9900000
BTC-USD,1,20180620,000500,6697.8500000
BTC-USD,1,20180620,000600,6697.8400000
BTC-USD,1,20180620,000700,6697.8500000
BTC-USD,1,20180620,000800,6697.8500000
BTC-USD,1,20180620,000900,6700.0000000
BTC-USD,1,20180620,001000,6700.0000000
BTC-USD,1,20180620,001100,6701.8500000
BTC-USD,1,20180620,001200,6704.6900000
BTC-USD,1,20180620,001300,6704.7000000
BTC-USD,1,20180620,001400,6704.7000000
BTC-USD,1,20180620,001500,6707.4200000
BTC-USD,1,20180620,001600,6708.0000000
BTC-USD,1,20180620,001700,6707.9900000
BTC-USD,1,20180620,001800,6708.0000000
BTC-USD,1,20180620,001900,6707.9900000
BTC-USD,1,20180620,002000,6707.9900000
BTC-USD,1,20180620,002100,6704.7400000
BTC-USD,1,20180620,002200,6704.6900000
BTC-USD,1,20180620,002300,6706.7200000
BTC-USD,1,20180620,002400,6705.9800000
BTC-USD,1,20180620,002500,6705.0000000
BTC-USD,1,20180620,002600,6705.6000000
BTC-USD,1,20180620,002700,6706.8000000
BTC-USD,1,20180620,002800,6707.0800000
BTC-USD,1,20180620,002900,6709.9900000
BTC-USD,1,20180620,003000,6708.5400000
BTC-USD,1,20180620,003100,6710.0000000
BTC-USD,1,20180620,003200,6710.0000000
BTC-USD,1,20180620,003300,6709.9900000
BTC-USD,1,20180620,003400,6710.0000000
BTC-USD,1,20180620,003500,6709.9900000
BTC-USD,1,20180620,003600,6711.4200000
BTC-USD,1,20180620,003700,6714.2900000
BTC-USD,1,20180620,003800,6714.2900000
BTC-USD,1,20180620,003900,6716.5100000
BTC-USD,1,20180620,004000,6716.5100000
BTC-USD,1,20180620,004100,6715.0000000
BTC-USD,1,20180620,004200,6717.1700000
BTC-USD,1,20180620,004300,6724.4600000
BTC-USD,1,20180620,004400,6723.8100000
BTC-USD,1,20180620,004500,6723.7600000
BTC-USD,1,20180620,004600,6721.8900000
BTC-USD,1,20180620,004700,6720.3200000
BTC-USD,1,20180620,004800,6713.9200000
